EPA Facility ID,Chemical
100000107519,Chlorine
100000090091,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000154664,Sulfur dioxide (anhydrous)
100000154664,Chlorine
100000154664,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000174688,Ammonia (conc 20% or greater)
100000013479,Sulfur dioxide (anhydrous)
100000013479,Chlorine
100000037113,Ammonia (conc 20% or greater)
100000037113,Acrylonitrile  [2-Propenenitrile]
100000107396,Chlorine
100000107421,Sulfur dioxide (anhydrous)
100000107421,Chlorine
100000167865,Chlorine
100000078685,Chlorine
100000083642,Sulfur dioxide (anhydrous)
100000083642,Chlorine
100000106805,Chlorine
100000029355,Ammonia (anhydrous)
100000128694,Chlorine
100000030414,Chlorine
100000048977,Ammonia (anhydrous)
100000138246,Ammonia (anhydrous)
100000112898,Ammonia (anhydrous)
100000235774,Isobutane  [Propane
100000235774,2-methyl]
100000235774,Butane
100000189716,Ammonia (anhydrous)
100000108171,Butane
100000029747,Chlorine
100000030398,Chlorine
100000106431,Ammonia (anhydrous)
100000030361,Chlorine
100000063799,Chlorine
100000063799,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000063799,Sulfur dioxide (anhydrous)
100000163743,Ammonia (anhydrous)
100000152586,"Ethylenediamine  [1,2-Ethanediamine]"
100000152586,Formaldehyde (solution)
100000152586,Boron trifluoride  [Borane
100000152586,trifluoro-]
100000011505,Sulfur dioxide (anhydrous)
100000011505,Chlorine
100000080654,Chlorine
100000080574,Chlorine
100000080574,Sulfur dioxide (anhydrous)
100000115127,Chlorine
100000247422,Ammonia (anhydrous)
100000108386,Chlorine
100000069711,Chlorine
100000030192,Chlorine
100000165689,Propane
100000241142,Ammonia (anhydrous)
100000168515,Ammonia (anhydrous)
100000128505,Chlorine
100000127007,Chlorine
100000127007,Sulfur dioxide (anhydrous)
100000132279,Chlorine
100000132279,Sulfur dioxide (anhydrous)
100000071815,Ammonia (anhydrous)
100000208777,Chlorine
100000178602,Ammonia (anhydrous)
100000241437,Ammonia (anhydrous)
100000119481,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000026278,Vinyl acetate monomer  [Acetic acid ethenyl ester]
100000037701,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000033545,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000007002,Chlorine
100000231572,Ammonia (anhydrous)
100000006986,Sulfur dioxide (anhydrous)
100000006986,Chlorine
100000044506,Chlorine
100000032289,Chlorine
100000181867,Ammonia (anhydrous)
100000092491,Chlorine
100000092491,Sulfur dioxide (anhydrous)
100000092543,Chlorine
100000092543,Sulfur dioxide (anhydrous)
100000025616,Chlorine
100000118259,Ammonia (anhydrous)
100000115582,Ammonia (anhydrous)
100000115582,Iron
100000115582,pentacarbonyl-  [Iron carbonyl (Fe(CO)5)
100000115582,(TB-5-11)-]
100000039193,Chlorine
100000169872,Chlorine
100000169239,Chlorine
100000136747,Ammonia (anhydrous)
100000039709,Chlorine
100000074135,Chlorine
100000094051,Ammonia (anhydrous)
100000149127,Propane
100000149127,Isobutane  [Propane
100000149127,2-methyl]
100000149127,Butane
100000149127,Isopentane  [Butane
100000149127,2-methyl-]
100000149127,Flammable Mixture
100000147968,Chlorine
100000143374,Chlorine
100000203843,Chlorine
100000203852,Chlorine
100000251283,Chlorine
100000077445,Formaldehyde (solution)
100000200016,"Toluene 2,6-diisocyanate  [Benzene"
100000200016,"1,3-diisocyanato-2-methyl-]"
100000200016,"Toluene 2,4-diisocyanate  [Benzene"
100000200016,"2,4-diisocyanato-1-methyl-]"
100000113584,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000033652,Ammonia (anhydrous)
100000081902,Sulfur dioxide (anhydrous)
100000081902,Flammable Mixture
100000102346,Chlorine
100000177756,Ammonia (anhydrous)
100000137087,Chlorine
